sample_index,target
17,97
29,64
47,90
70,92
110,59
116,68
177,44
201,73
388,20
413,24
456,54
466,82
509,20
710,5
821,26
842,26
1140,49
1168,97
1237,59
1325,38
1465,69
1487,25
1548,33
1599,6
1654,52
1667,79
1876,9
1950,60
1963,75
2010,8
2027,95
2052,91
2053,22
2108,96
2245,23
2465,40
2494,94
2521,32
2594,42
2644,16
2673,38
2681,95
2692,18
2735,63
2763,64
2769,4
2846,84
2858,2
2948,37
3041,23
3128,40
3129,69
3158,20
3170,68
3240,27
3264,64
3280,43
3302,79
3349,46
3350,16
3378,57
3389,99
3401,81
3410,29
3443,45
3614,97
3624,98
3631,42
3645,60
3663,93
3678,3
3688,83
3702,42
3716,26
3726,82
3855,42
3877,35
3917,31
4009,64
4047,49
4096,21
4126,93
4127,91
4185,65
4312,34
4316,62
4352,30
4367,8
4426,23
4542,16
4679,71
4783,9
4794,73
4796,52
4867,83
4924,80
4944,32
5011,89
5056,85
5090,68
5147,13
5245,28
5251,86
5254,94
5308,34
5357,38
5377,25
5422,80
5424,66
5473,61
5482,23
5710,71
5716,5
5742,14
5743,99
5836,31
5856,51
5890,87
5899,44
5903,99
5916,78
5938,87
5946,19
6022,75
6286,19
6295,53
6310,56
6348,19
6368,28
6387,73
6472,47
6476,58
6485,95
6520,37
6523,55
6588,43
6635,89
6654,41
6659,47
6668,57
6708,65
6738,87
6745,18
6829,56
6893,1
6895,48
7050,98
7152,50
7199,16
7234,0
7239,78
7275,54
7321,96
7433,97
7447,99
7489,93
7501,21
7521,68
7534,14
7548,21
7551,95
7568,65
7751,56
7777,65
7797,46
7864,10
7872,32
7923,0
7932,4
8056,28
8183,59
8188,42
8205,36
8216,30
8256,93
8317,97
8320,92
8356,94
8392,46
8407,74
8442,14
8483,55
8500,35
8521,29
8598,78
8616,4
8689,87
8763,83
8870,38
8882,20
8893,41
8894,44
8906,71
8945,3
8962,39
8964,92
8973,56
8997,49
9003,57
9035,48
9048,75
9072,51
9166,16
9196,68
9224,19
9304,94
9309,70
9376,46
9480,77
9592,69
9632,56
9646,64
9689,11
9753,31
9761,31
9763,74
9794,45
9847,14
9891,82
9922,64
9923,32
9975,25
9988,58
10000,48
10005,36
10122,87
10249,89
10278,11
10280,10
10323,47
10355,29
10387,93
10408,66
10471,93
10497,69
10506,36
10514,80
10578,32
10703,33
10709,41
10744,86
10778,39
10792,51
10794,8
10829,18
10897,81
10989,70
11057,69
11076,57
11264,0
11268,75
11308,49
11547,98
11590,12
11685,42
11697,54
11805,25
11861,90
11881,15
11936,66
11940,78
12031,9
12062,54
12273,52
12324,2
12374,75
12384,24
12433,95
12464,74
12535,52
12641,69
12758,47
12768,30
12805,52
12816,10
12835,36
12847,1
12887,43
12911,73
13028,91
13080,10
13084,22
13092,21
13138,84
13168,74
13188,57
13471,89
13528,0
13575,67
13738,41
13874,27
13943,27
13976,88
13985,7
14154,74
14319,50
14336,41
14342,17
14365,71
14507,22
14511,68
14530,5
14537,43
14563,58
14603,42
14624,62
14719,10
14805,95
14833,24
14845,31
14952,85
15022,68
15098,39
15113,82
15186,66
15195,55
15197,24
15201,35
15234,30
15325,54
15408,50
15547,33
15566,54
15567,89
15573,68
15580,39
15666,97
15731,96
15807,50
15814,44
15842,65
16041,65
16215,50
16293,28
16350,11
16356,0
16405,33
16439,89
16448,8
16508,99
16536,18
16551,32
16784,82
16793,95
16795,58
16866,38
16871,77
16983,52
16993,61
17012,52
17016,66
17106,50
17152,23
17310,8
17385,88
17387,26
17411,67
17520,79
17525,26
17673,14
17711,10
17757,75
17762,73
17808,70
17837,29
17843,53
17846,94
17915,83
17916,72
17999,72
18073,38
18083,44
18084,19
18094,76
18167,20
18189,49
18293,28
18338,41
18357,39
18391,62
18446,30
18450,40
18531,26
18603,6
18683,18
18712,43
18790,31
18812,67
18846,17
18897,28
18958,90
19055,9
19184,83
19210,33
19292,53
19322,1
19323,3
19337,53
19410,35
19459,23
19487,45
19508,98
19565,94
19610,62
19642,27
19715,83
19747,60
19749,31
19751,5
19762,13
19784,17
19865,78
19892,68
19920,34
19943,30
20013,55
20084,36
20135,63
20138,88
20147,73
20210,20
20248,74
20422,67
20447,87
20473,37
20495,80
20563,44
20609,34
20681,89
20825,42
20990,94
20991,53
21163,75
21204,63
21209,79
21234,71
21270,41
21278,66
21301,29
21326,97
21394,71
21459,40
21473,88
21498,17
21540,5
21562,21
21573,50
21577,6
21651,96
21660,7
21708,84
21809,17
21814,86
21832,37
21860,3
21889,91
21917,67
21920,57
21955,57
22028,8
22035,6
22099,96
22152,95
22213,91
22234,47
22266,14
22280,77
22382,70
22402,58
22439,46
22511,6
22563,5
22592,51
22634,38
22638,90
22712,35
22865,20
22920,34
23057,62
23058,94
23076,99
23093,66
23167,60
23179,98
23289,59
23541,31
23552,1
23603,8
23611,55
23719,82
23756,76
23799,27
23843,51
23988,15
24025,14
24130,48
24195,80
24201,61
24280,47
24310,60
24407,45
24444,81
24471,38
24543,63
24545,4
24559,34
24618,69
24699,45
24757,41
24797,96
24843,78
24960,36
25045,55
25051,40
25054,76
25079,99
25091,73
25093,93
25154,61
25160,32
25180,5
25204,84
25205,21
25278,67
25295,77
25409,14
25416,83
25437,77
25438,40
25477,36
25487,44
25612,17
25742,54
25786,96
25863,48
25871,48
26089,83
26145,16
26225,89
26236,79
26237,78
26258,45
26296,98
26378,70
26396,88
26470,9
26573,7
26585,89
26703,15
26741,24
26751,37
26775,24
26843,42
26846,30
26863,15
26888,49
26907,86
26928,81
26948,8
26994,71
27011,9
27022,71
27084,32
27155,13
27156,2
27364,11
27368,11
27378,65
27471,60
27473,77
27497,22
27521,13
27564,93
27642,67
27771,2
27819,89
27833,84
27858,59
27878,14
27938,92
28057,21
28066,33
28109,22
28111,7
28137,9
28155,73
28162,84
28197,44
28289,16
28298,76
28315,15
28337,27
28376,72
28403,67
28466,85
28521,91
28661,84
28780,12
28798,87
28803,72
28819,13
28928,80
28941,63
29059,79
29114,3
29248,84
29255,17
29256,29
29288,74
29319,66
29367,59
29420,69
29462,49
29486,9
29540,26
29555,19
29558,6
29572,26
29578,21
29652,46
29700,58
29724,58
29727,61
29746,86
29749,82
29801,25
